E	db0_pair_dE	db0_pion_dE	db0_rsh_dE	db0_dE
6.9317172761554e17	1.6816456700606278e-11	0.0	7.358487281534e-11	1.6816456700606278e-11
7.012063589007205e17	1.7465391844516287e-11	0.0	7.358487281534e-11	1.7465391844516287e-11
7.09334120498799e17	1.8131727301648356e-11	0.0	7.358487281534e-11	1.8131727301648356e-11
7.175560918936951e17	1.8815639061064168e-11	0.0	7.358487281534e-11	1.8815639061064168e-11
7.258733650817245e17	1.9517295648535485e-11	0.0	7.358487281534e-11	1.9517295648535485e-11
7.342870447166788e17	2.023685792404181e-11	0.0	7.358487281534e-11	2.023685792404181e-11
7.427982482564911e17	2.0974478852465756e-11	0.0	7.358487281534e-11	2.0974478852465756e-11
7.514081061116993e17	2.173030331887213e-11	0.0	7.358487281534e-11	2.173030331887213e-11
7.601177617955323e17	2.2504467935109032e-11	0.0	7.358487281534e-11	2.2504467935109032e-11
7.689283720758337e17	2.329710083613704e-11	0.0	7.358487281534e-11	2.329710083613704e-11
7.778411071286482e17	2.4108321531453244e-11	0.0	7.358487281534e-11	2.4108321531453244e-11
7.868571506936876e17	2.4938240744390155e-11	0.0	7.358487281534e-11	2.4938240744390155e-11
7.959777002314977e17	2.578696022077045e-11	0.0	7.358487281534e-11	2.578696022077045e-11
8.052039670825503e17	2.6654572624896346e-11	0.0	7.358487281534e-11	2.6654572624896346e-11
8.145371766280737e17	2.7541161365777807e-11	0.0	7.358487281534e-11	2.7541161365777807e-11
8.239785684528545e17	2.8446800513225856e-11	0.0	7.358487281534e-11	2.8446800513225856e-11
8.335293965098188e17	2.93715546516038e-11	0.0	7.358487281534e-11	2.93715546516038e-11
8.431909292866286e17	3.031547877786467e-11	0.0	7.358487281534e-11	3.031547877786467e-11
8.529644499741016e17	3.127861821869862e-11	0.0	7.358487281534e-11	3.127861821869862e-11
8.628512566366922e17	3.226100852973475e-11	0.0	7.358487281534e-11	3.226100852973475e-11
8.728526623848371e17	3.32626754599357e-11	0.0	7.358487281534e-11	3.32626754599357e-11
8.829699955494118e17	3.428363480942829e-11	0.0	7.358487281534e-11	3.428363480942829e-11
8.932045998580959e17	3.532389245465526e-11	0.0	7.358487281534e-11	3.532389245465526e-11
9.035578346138958e17	3.6383444272590513e-11	0.0	7.358487281534e-11	3.6383444272590513e-11
9.140310748756223e17	3.746227607588528e-11	0.0	7.358487281534e-11	3.746227607588528e-11
