E	beta_pair_E	beta_pion_E	beta_rsh_E	beta_total_E
2.1945290862033114e18	6.414150045994726e-11	0	7.665e-11	1.4079150045994726e-10
2.2199661191199616e18	6.52686354526695e-11	0	7.665e-11	1.419186354526695e-10
2.2456979955397716e18	6.64042893776084e-11	0	7.665e-11	1.430542893776084e-10
2.271728133026912e18	6.754831883218672e-11	0	7.665e-11	1.441983188321867e-10
2.2980599887588488e18	6.870057810400644e-11	0	7.665e-11	1.4535057810400644e-10
2.324697059985655e18	6.98609184644091e-11	0	7.665e-11	1.465109184644091e-10
2.351642884494346e18	7.102918841575144e-11	0	7.665e-11	1.4767918841575144e-10
2.3789010410789007e18	7.220523375319782e-11	0	7.665e-11	1.488552337531978e-10
2.406475150015422e18	7.338889762796013e-11	0	7.665e-11	1.5003889762796012e-10
2.434368873543118e18	7.458002061202782e-11	0	7.665e-11	1.5123002061202782e-10
2.4625859163505444e18	7.577844076437213e-11	0	7.665e-11	1.5242844076437213e-10
2.491130026067796e18	7.698399369866382e-11	0	7.665e-11	1.5363399369866382e-10
2.5200049937640893e18	7.819651265248535e-11	0	7.665e-11	1.5484651265248536e-10
2.549214654451431e18	7.941582828541266e-11	0	7.665e-11	1.5606582828541268e-10
2.578762887593798e18	8.064177011459729e-11	0	7.665e-11	1.572917701145973e-10
2.608653617622556e18	8.187416386180871e-11	0	7.665e-11	1.585241638618087e-10
2.638890814457508e18	8.311283425551005e-11	0	7.665e-11	1.5976283425551004e-10
2.669478494034329e18	8.435760374423289e-11	0	7.665e-11	1.610076037442329e-10
2.7004207188377697e18	8.560829284754472e-11	0	7.665e-11	1.6225829284754473e-10
2.7317215984413844e18	8.686472023581427e-11	0	7.665e-11	1.6351472023581427e-10
2.763385290053167e18	8.812670234620934e-11	0	7.665e-11	1.6477670234620936e-10
2.795415999067865e18	8.939405529175937e-11	0	7.665e-11	1.6604405529175937e-10
2.8278179796253384e18	9.066659225538947e-11	0	7.665e-11	1.6731659225538948e-10
2.8605955351757507e18	9.19441253366701e-11	0	7.665e-11	1.6859412533667011e-10
2.8937530190509476e18	9.3226465205785e-11	0	7.665e-11	1.6987646520578502e-10
2.927294835042825e18	9.451342119140208e-11	0	7.665e-11	1.7116342119140208e-10
2.9612254379880315e18	9.580480136969628e-11	0	7.665e-11	1.7245480136969629e-10
2.9955493343598223e18	9.710041265448251e-11	0	7.665e-11	1.7375041265448252e-10
3.030271082866393e18	9.840006088835138e-11	0	7.665e-11	1.7505006088835138e-10
3.065395295056536e18	9.970355093475182e-11	0	7.665e-11	1.7635355093475182e-10
3.1009266359319235e18	1.0101068677089991e-10	0	7.665e-11	1.776606867708999e-10
3.136869824566886e18	1.0232127158144426e-10	0	7.665e-11	1.7897127158144425e-10
3.173229634734973e18	1.0363510785275421e-10	0	7.665e-11	1.802851078527542e-10
3.2100108955431813e18	1.049519974677497e-10	0	7.665e-11	1.816019974677497e-10
3.2472184920731254e18	1.0627174236915757e-10	0	7.665e-11	1.8292174236915759e-10
3.284857366030054e18	1.0759414241536093e-10	0	7.665e-11	1.8424414241536094e-10
3.3229325163989683e18	1.0891899878811952e-10	0	7.665e-11	1.855689987881195e-10
