E	Eg
1.633853877809857e18	7.453868124539997e46
1.6489869444710682e18	3.616276589758569e47
1.6642601764859018e18	1.7372968376827295e48
1.67967487209266e18	8.265043565882155e48
1.6952323415541215e18	3.894053585737755e49
1.71093390726901e18	1.8170707903592515e50
1.7267809038843594e18	8.398133222147515e50
1.7427746784089172e18	3.8447004011353414e51
1.75891659032774e18	1.7435660492633426e52
1.775208011717636e18	7.833151976700341e52
1.7916503273638958e18	3.486430322048407e53
1.8082449348779553e18	1.5374216285300895e54
1.8249932448161505e18	6.717958889634908e54
1.8418966807997184e18	2.9083036885872144e55
1.8589566796356882e18	1.2475513343270865e56
1.8761746914391158e18	5.302860840876054e56
1.893552179756299e18	2.2336684665967923e57
1.9110906216891359e18	9.325253232695804e57
1.9287915080207857e18	3.858361189344047e58
1.9466563433422633e18	1.5826412826291075e59
1.9646866461804406e18	6.435413699267479e59
1.9828839491270753e18	2.594567075634919e60
2.001249798969035e18	1.0372040295437444e61
2.0197857568198866e18	4.1115766942715085e61
2.038493398252464e18	1.6157795890784722e62
2.0573743134329073e18	6.295142869575883e62
2.076430107255779e18	2.4318658322584463e63
2.0956623994804308e18	9.315008352404602e63
2.1150728248688033e18	3.539402898450248e64
2.1346630333242455e18	1.3341040141024313e65
2.154434690031878e18	4.989071795106445e65
2.1743894756000845e18	1.851003941350424e66
2.1945290862033114e18	6.810425609187022e66
2.2148552337263683e18	2.485354432286232e67
2.2353696459097966e18	8.997508001926456e67
2.2560740664968545e18	3.232309347860143e68
2.2769702553816847e18	1.1526348687358044e69
2.2980599887588488e18	4.079819600882496e69
2.319345059274437e18	1.4325830000181787e70
2.3408272761782943e18	4.990759630300916e70
2.36250846547794e18	1.7254792824847426e71
2.384390470093725e18	5.922904281140711e71
2.406475150015422e18	2.0191012481745402e72
2.4287643824604605e18	6.831356442218581e72
2.45126006203334e18	2.293605300737048e73
2.4739641008868065e18	7.643860427697084e73
2.496878428884332e18	2.53010083287366e74
2.5200049937640893e18	8.319722139633701e74
2.5433457613046584e18	2.7156889214761765e75
2.566902715491952e18	8.798719123962497e75
2.590677858688001e18	2.8312107576967586e76
2.614673211801097e18	9.052262220863363e76
2.638890814457508e18	2.8753697372468293e77
2.663332725174992e18	9.066473665083096e77
2.6880010215376077e18	2.8390710127857413e78
2.712897800372459e18	8.835787229946721e78
2.7380251779278633e18	2.7329996987357944e79
2.763385290053167e18	8.393484289110668e79
2.788980292380451e18	2.560413255355908e80
2.8148123605075814e18	7.765163763565975e80
2.8408836901832955e18	2.3407281158369188e81
2.867196497493776e18	7.00711180863757e81
2.8937530190509476e18	2.0843461715105457e82
2.920555512182757e18	6.166504524502272e82
2.9476062551248584e18	1.8129016497520308e83
2.974907547214431e18	5.294729246224895e83
3.002461709085555e18	1.5373514666899041e84
3.030271082866393e18	4.440395455089659e84
3.0583380323784443e18	1.2741828982841338e85
3.0866649433372744e18	3.63393498962828e85
3.1152542235554785e18	1.031226048828273e86
3.144108303147271e18	2.9091630045728426e86
3.173229634734973e18	8.154706695704406e86
3.2026206936576635e18	2.274433678781811e87
3.2322839781813806e18	6.309537012440481e87
3.26222200971166e18	1.7395661236954117e88
3.292437333007776e18	4.770874408614013e88
3.3229325163989683e18	1.3021037408240979e89
3.3537101520029425e18	3.5323303644357413e89
3.384772855945983e18	9.531305235456052e89
3.416123268585518e18	2.5603358155045005e90
3.447764054734471e18	6.836970996814976e90
3.479697903887688e18	1.8161192041743214e91
3.5119275304507423e18	4.803445682905851e91
3.5444556739704356e18	1.2630999065417525e92
3.5772850993678623e18	3.3050600615866164e92
3.610418597173345e18	8.609772505437183e92
3.6438589837635405e18	2.230298406469023e93
3.6776091016010455e18	5.75107419051563e93
3.711671819475767e18	1.4764257902387466e94
3.746050032748982e18	3.768886762139938e94
3.780746663599357e18	9.582115995405583e94
3.815764661271245e18	2.424763409228032e95
3.8511070023255844e18	6.103265687862787e95
3.886776690892668e18	1.5305783881506475e96
3.9227767589277076e18	3.8192340452489816e96
3.9591102664684667e18	9.484787601082823e96
3.9957803018952653e18	2.3467677304512076e97
4.032789982193722e18	5.7756636689934e97
4.070142453219439e18	1.4160273678976784e98
4.107840889965634e18	3.457005665200398e98
4.1458884968329196e18	8.397885027490138e98
4.184288507901576e18	2.0332994675078709e99
4.2230441872066893e18	4.899259946195281e99
4.262158829015325e18	1.1757148700425656e100
4.3016357581067817e18	2.810960706742197e100
4.3414783300551014e18	6.687755890528303e100
4.3816899315141857e18	1.5861843354891843e101
4.422273980505915e18	3.744930124386458e101
4.4632339267103974e18	8.807490291747776e101
4.5045732517594445e18	2.0642114356409482e102
4.546295469532409e18	4.814624499153669e102
4.588404126454752e18	1.1199222155003645e103
4.630902801799756e18	2.5928504914637443e103
4.673795107992463e18	5.983177601117824e103
4.717084690917003e18	1.3756600527046783e104
4.760775230226378e18	3.1496158093926304e104
4.804870439655124e18	7.190458906321788e104
4.849374067335253e18	1.6341555719917152e105
4.894289896114531e18	3.703820983929188e105
4.939621743878306e18	8.360797276115735e105
4.985373463873904e18	1.8810465286865938e106
5.031548945038046e18	4.218343998776318e106
5.078152112327691e18	9.422167756781845e106
5.125186927053332e18	2.0989749803297758e107
5.172657387216003e18	4.656346024626348e107
5.220567527846986e18	1.0304535350386463e108
5.268921421350666e18	2.27105938329057e108
5.317723177850989e18	4.991865842002111e108
5.366976945540476e18	1.093475670948019e109
5.416686911033135e18	2.3874651634302103e109
5.466857299720192e18	5.198187958936871e109
5.517492376129117e18	1.1275915124345667e110
5.568596444286431e18	2.440346948834948e110
5.620173848083188e18	5.2605737599651954e110
5.672228971644526e18	1.1315615513598358e111
5.72476623970219e18	2.4246565285939337e111
5.777790117970495e18	5.184704632950788e111
5.831305113526242e18	1.1045592745888726e112
5.885315775191451e18	2.3478354467873454e112
5.939826693920338e18	4.97394581382926e112
5.994842503189421e18	1.0509668032128316e113
6.050367879391212e18	2.2145327270720654e113
6.106407542232061e18	4.652362356714091e113
6.162966255132942e18	9.75055441857782e113
6.220048825634692e18	2.036987993322389e114
6.277660105806513e18	4.2465973801898517e114
6.335804992658242e18	8.823372177065568e114
6.394488428556963e18	1.829853316662106e115
6.453715401646702e18	3.781889972768137e115
6.513490946272782e18	7.802848379497971e115
6.573820143409598e18	1.6043734096300524e116
6.634708121092337e18	3.293431445944898e116
6.696160054853243e18	6.737771668389591e116
6.75818116816111e18	1.376250892501584e117
6.820776732865664e18	2.8017650278817594e117
6.883952069645511e18	5.694989348027865e117
6.947712548460226e18	1.1538267072333578e118
7.012063589007205e18	2.334130317215715e118
7.07701066118189e18	4.706850539385697e118
7.142559285543105e18	9.477254751739729e118
7.20871503378215e18	1.9023362723179558e119
7.275483529196217e18	3.812866332979513e119
7.342870447166788e18	7.618964339982561e119
7.41088151564157e18	1.5202551649414627e120
7.479522515621798e18	3.024403054383592e120
7.548799281653447e18	6.008411514407308e120
7.618717702322984e18	1.1901463158707553e121
7.689283720758337e18	2.3542992766995365e121
7.760503335133571e18	4.643639461564047e121
7.832382599179172e18	9.147474879801324e121
7.904927622696437e18	1.7967728898249393e122
7.978144572076613e18	3.524969141406561e122
8.052039670825503e18	6.895760693317436e122
8.126619200091946e18	1.3474083435726686e123
8.201889499202178e18	2.6254385312536713e123
8.277856966198489e18	5.1098321605874355e123
8.354528058382854e18	9.918069865730753e123
8.431909292866286e18	1.9228691495391751e124
8.510007247122247e18	3.718189679222146e124
8.588828559546224e18	7.181240192942196e124
8.668379930019792e18	1.383524107572398e125
8.748668120479897e18	2.662108329014682e125
8.829699955494119e18	5.110490299608398e125
8.911482322840202e18	9.79710487399476e125
8.994022174092017e18	1.8744145321148535e126
9.077326525210242e18	3.580010827619638e126
9.161402457138503e18	6.826305889619074e126
9.246257116405772e18	1.299256586810963e127
9.331897715733238e18	2.469010228360649e127
9.418331534647923e18	4.682938807789326e127
9.50556592010121e18	8.871086552025423e127
9.593608287093127e18	1.6767232392554825e128
9.682466119303154e18	3.1661518628406367e128
9.772146969725725e18	5.964720273777817e128
9.86265846131279e18	1.1227490601011649e129
9.95400828762154e18	2.1084768186533467e129
1.004620421346811e19	3.956293835914579e129
1.0139254075588184e19	7.407277851872068e129
1.023316578330245e19	1.385509510633301e130
1.0327947319189484e19	2.586757089256369e130
1.0423606739764034e19	4.82289677209238e130
1.0520152176161569e19	8.97919073028534e130
1.0617591834830033e19	1.6691334355883038e131
1.071593399822671e19	3.099041512371362e131
1.0815187025522848e19	5.74304063527871e131
1.0915359353313933e19	1.0634064285309825e132
1.1016459496336546e19	1.9650043292177908e132
1.1118496048192743e19	3.6285777769824404e132
1.1221477682079803e19	6.68674999856706e132
1.132541315152808e19	1.2313747849063465e133
1.143031129114481e19	2.2635384769736372e133
1.153618101736476e19	4.1564020847605474e133
1.1643031329208803e19	7.621719424824668e133
1.1750871309048076e19	1.3958017295024013e134
1.1859710123376658e19	2.553431443494567e134
1.1969557023590453e19	4.663276900070757e134
1.2080421346773264e19	8.510662656181238e134
1.2192312516491145e19	1.5503210237090273e135
1.2305240043592616e19	2.8225799622984607e135
1.2419213527017796e19	5.1298776984104376e135
1.253424265461402e19	9.315807766264233e135
1.2650337203959011e19	1.689351653392495e136
1.2767507043192697e19	3.060454067536431e136
1.288576213185518e19	5.538175992101616e136
1.3005112521734046e19	1.0007516540634217e137
1.3125568357718454e19	1.8071809686627368e137
1.3247139878661149e19	3.2579449876679e137
1.3369837418249507e19	5.8707108635531985e137
1.3493671405883064e19	1.0561622791376254e138
1.3618652367560772e19	1.898782969750734e138
